Months,"Stock[1, First]","Stock[1, Second]","Stock[2, First]","Stock[2, Second]",Goal,"Gap[1, First]","Gap[1, Second]","Gap[2, First]","Gap[2, Second]","AT[1, First]","AT[1, Second]","AT[2, First]","AT[2, Second]","Flow[1, First]","Flow[1, Second]","Flow[2, First]","Flow[2, Second]"
8.0,20.008036194057652,24.94146858289097,35.496918756680095,44.98465961691544,20.0,-0.008036194057652324,-4.94146858289097,-15.496918756680095,-24.984659616915437,1.0,3.0,5.0,7.0,-0.008036194057652324,-1.64715619429699,-3.099383751336019,-3.5692370881307767
8.25,20.00602714554324,24.52967953431672,34.722072818846094,44.092350344882746,20.0,-0.006027145543239243,-4.52967953431672,-14.722072818846094,-24.092350344882746,1.0,3.0,5.0,7.0,-0.006027145543239243,-1.5098931781055736,-2.944414563769219,-3.4417643349832496
8.5,20.00452035915743,24.152206239790328,33.98596917790379,43.231909261136934,20.0,-0.004520359157428544,-4.152206239790328,-13.98596917790379,-23.231909261136934,1.0,3.0,5.0,7.0,-0.004520359157428544,-1.3840687465967758,-2.797193835580758,-3.318844180162419
8.75,20.003390269368072,23.806189053141132,33.2866707190086,42.40219821609633,20.0,-0.003390269368072296,-3.806189053141132,-13.286670719008598,-22.40219821609633,1.0,3.0,5.0,7.0,-0.003390269368072296,-1.2687296843803775,-2.6573341438017195,-3.200314030870904
9.0,20.002542702026055,23.48900663204604,32.622337183058164,41.6021197083786,20.0,-0.0025427020260551103,-3.4890066320460384,-12.622337183058164,-21.602119708378602,1.0,3.0,5.0,7.0,-0.0025427020260551103,-1.1630022106820128,-2.5244674366116326,-3.0860171011969433
9.25,20.00190702651954,23.198256079375536,31.991220323905257,40.830615433079366,20.0,-0.0019070265195395564,-3.198256079375536,-11.991220323905257,-20.830615433079366,1.0,3.0,5.0,7.0,-0.0019070265195395564,-1.0660853597918454,-2.3982440647810512,-2.975802204725624
9.5,20.001430269889653,22.931734739427576,31.391659307709993,40.08666488189796,20.0,-0.001430269889652891,-2.9317347394275757,-11.391659307709993,-20.08666488189796,1.0,3.0,5.0,7.0,-0.001430269889652891,-0.9772449131425253,-2.2783318615419987,-2.8695235545568516
9.75,20.00107270241724,22.687423511141944,30.822076342324493,39.36928399325875,20.0,-0.0010727024172396682,-2.6874235111419438,-10.822076342324493,-19.369283993258748,1.0,3.0,5.0,7.0,-0.0010727024172396682,-0.8958078370473146,-2.1644152684648987,-2.7670405704655354
10.0,20.000804526812928,22.463471551880115,30.28097252520827,38.677523850642366,20.0,-0.0008045268129279748,-2.463471551880115,-10.28097252520827,-18.677523850642366,1.0,3.0,5.0,7.0,-0.0008045268129279748,-0.8211571839600383,-2.056194505041654,-2.6682176929489096
10.25,20.000603395109696,22.258182255890105,29.766923898947855,38.01046942740514,20.0,-0.0006033951096959811,-2.2581822558901052,-9.766923898947855,-18.01046942740514,1.0,3.0,5.0,7.0,-0.0006033951096959811,-0.7527274186300351,-1.953384779789571,-2.57292420391502
10.5,20.000452546332273,22.070000401232598,29.278577704000462,37.367238376426386,20.0,-0.000452546332272874,-2.0700004012325977,-9.278577704000462,-17.367238376426386,1.0,3.0,5.0,7.0,-0.000452546332272874,-0.6900001337441992,-1.8557155408000923,-2.481034053775198
10.75,20.000339409749206,21.897500367796546,28.81464881880044,36.746979862982585,20.0,-0.0003394097492055437,-1.897500367796546,-8.814648818800439,-16.746979862982585,1.0,3.0,5.0,7.0,-0.0003394097492055437,-0.6325001225988487,-1.7629297637600878,-2.3924256947117977
11.0,20.000254557311905,21.739375337146832,28.373916377860418,36.14887343930464,20.0,-0.00025455731190504594,-1.7393753371468321,-8.373916377860418,-16.148873439304637,1.0,3.0,5.0,7.0,-0.00025455731190504594,-0.5797917790489441,-1.6747832755720835,-2.3069819199006623
11.25,20.00019091798393,21.594427392384596,27.955220558967397,35.57212795932947,20.0,-0.00019091798392878445,-1.5944273923845955,-7.955220558967397,-15.572127959329471,1.0,3.0,5.0,7.0,-0.00019091798392878445,-0.5314757974615318,-1.5910441117934795,-2.2245897084756385
11.5,20.000143188487947,21.461558443019214,27.557459531019028,35.01598053221056,20.0,-0.00014318848794658834,-1.4615584430192143,-7.557459531019028,-15.015980532210563,1.0,3.0,5.0,7.0,-0.00014318848794658834,-0.48718614767307145,-1.5114919062038055,-2.1451400760300805
11.75,20.000107391365958,21.339761906100946,27.179586554468077,34.47969551320304,20.0,-0.0001073913659581649,-1.3397619061009465,-7.179586554468077,-14.47969551320304,1.0,3.0,5.0,7.0,-0.0001073913659581649,-0.4465873020336488,-1.4359173108936154,-2.068527930457577
12.0,20.00008054352447,21.228115080592534,26.820607226744674,33.962563530588646,20.0,-8.054352446862367e-05,-1.2281150805925343,-6.820607226744674,-13.962563530588646,1.0,3.0,5.0,7.0,-8.054352446862367e-05,-0.40937169353084474,-1.3641214453489348,-1.994651932941235
12.25,20.000060407643353,21.125772157209823,26.47957686540744,33.46390054735334,20.0,-6.040764335324411e-05,-1.1257721572098234,-6.4795768654074415,-13.46390054735334,1.0,3.0,5.0,7.0,-6.040764335324411e-05,-0.3752573857366078,-1.2959153730814883,-1.92341436390762
12.5,20.000045305732513,21.031957810775673,26.15559802213707,32.983046956376434,20.0,-4.530573251315673e-05,-1.0319578107756726,-6.15559802213707,-12.983046956376434,1.0,3.0,5.0,7.0,-4.530573251315673e-05,-0.3439859369252242,-1.231119604427414,-1.854720993768062
12.75,20.000033979299385,20.945961326544367,25.847818121030215,32.51936670793442,20.0,-3.3979299384867545e-05,-0.9459613265443672,-5.847818121030215,-12.519366707934417,1.0,3.0,5.0,7.0,-3.3979299384867545e-05,-0.3153204421814557,-1.169563624206043,-1.7884809582763452
13.0,20.000025484474538,20.867131215999002,25.555427214978703,32.07224646836533,20.0,-2.548447453776248e-05,-0.8671312159990023,-5.555427214978703,-12.072246468365329,1.0,3.0,5.0,7.0,-2.548447453776248e-05,-0.2890437386663341,-1.1110854429957406,-1.7246066383379042
13.25,20.000019113355904,20.794870281332418,25.277655854229767,31.641094808780853,20.0,-1.911335590421004e-05,-0.7948702813324182,-5.277655854229767,-11.641094808780853,1.0,3.0,5.0,7.0,-1.911335590421004e-05,-0.2649567604441394,-1.0555311708459534,-1.6630135441115503
13.5,20.000014335016928,20.728631091221384,25.01377306151828,31.225341422752965,20.0,-1.4335016928157529e-05,-0.7286310912213843,-5.013773061518279,-11.225341422752965,1.0,3.0,5.0,7.0,-1.4335016928157529e-05,-0.24287703040712808,-1.0027546123036557,-1.6036202032504236
13.75,20.000010751262696,20.667911833619602,24.763084408442364,30.824436371940358,20.0,-1.0751262696118147e-05,-0.6679118336196019,-4.763084408442364,-10.824436371940358,1.0,3.0,5.0,7.0,-1.0751262696118147e-05,-0.22263727787320065,-0.9526168816884727,-1.5463480531343368
