Months,Conveyor 1,Flow Out,Flow In
0.0,12.0,1.0,6.0
0.5,14.5,1.0,6.0
1.0,17.0,1.0,6.0
1.5,19.5,1.0,6.0
2.0,22.0,1.0,6.0
2.5,24.5,1.0,6.0
3.0,27.0,1.0,6.0
3.5,29.5,1.0,6.0
4.0,32.0,1.0,6.0
