Months,Leaked Conveyor,AllLeaked,AllOutFlowed,InFlow,OutFlow,LeakingFlow
0.0,10.0,0.0,0.0,0.0,2.3631656804733727,0.26492669018895626
0.5,8.685953814668835,0.13246334509447813,1.1815828402366864,0.0,2.3595687768501254,0.23164266652031723
1.0,7.390348092983615,0.24828467835463675,2.361367228661749,0.0,2.356069086838317,0.1984093034660901
1.5,6.113108897831411,0.3474893300876818,3.5394017720809074,0.0,2.352662721893492,0.16522523182047996
2.0,4.8541649209744255,0.4301019459979218,4.715733133027653,0.0,2.349345998131424,0.13208913714592377
2.5,3.613447353335751,0.49614651457088366,5.890406132093365,0.0,2.3461154230384995,0.09899975689055159
3.0,2.3908897633712254,0.5456463930161595,7.063463843612615,0.0,2.342967683204369,0.06595587769282624
3.5,1.186427982922628,0.5786243318625726,8.234947685214799,0.0,2.3398996329862944,0.03295633285896189
4.0,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
4.5,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
5.0,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
5.5,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
6.0,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
6.5,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
7.0,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
7.5,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
8.0,0.0,0.5951024982920535,9.404897501707946,0.0,0.0,0.0
